date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:16:36	89197/89197	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2018:16:36%20GMT	https://visitperak.com.my/lang-mountain/	C:/ICM561/link%2021/link%2021/visitperak.com.my/lang-mountain/index.html	(from )
02:16:36	129/129	---M-Z	200	added ('OK')	text/plain	date:Mon,%2016%20Dec%202024%2018:16:36%20GMT	https://visitperak.com.my/robots.txt		(from )
02:16:36	97517/97517	---M-Z	200	added ('OK')	text/css	date:Thu,%2009%20Mar%202023%2019:22:38%20GMT	https://visitperak.com.my/wp-includes/css/dist/block-library/style.min.css?ver=6.2.6	C:/ICM561/link%2021/link%2021/visitperak.com.my/wp-includes/css/dist/block-library/style.min4118.css	(from https://visitperak.com.my/lang-mountain/)
02:16:37	291/291	---M-Z	200	added ('OK')	text/css	date:Mon,%2013%20Feb%202023%2015:50:20%20GMT	https://visitperak.com.my/wp-includes/css/classic-themes.min.css?ver=6.2.6	C:/ICM561/link%2021/link%2021/visitperak.com.my/wp-includes/css/classic-themes.min4118.css	(from https://visitperak.com.my/lang-mountain/)
02:16:37	778/778	---M-Z	200	added ('OK')	application/rss+xml	etag:%22909362007e15628508fc5e22b56a65e1%22	https://visitperak.com.my/lang-mountain/feed/	C:/ICM561/link%2021/link%2021/visitperak.com.my/lang-mountain/feed/index.html	(from https://visitperak.com.my/lang-mountain/)
02:16:37	31000/31000	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Mar%202020%2000:00:00%20GMT	https://visitperak.com.my/wp-content/themes/magazine-point/vendors/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/ICM561/link%2021/link%2021/visitperak.com.my/wp-content/themes/magazine-point/vendors/font-awesome/css/font-awesome.min1849.css	(from https://visitperak.com.my/lang-mountain/)
02:16:37	3469/3469	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Mar%202020%2000:00:00%20GMT	https://visitperak.com.my/wp-content/themes/magazine-point/vendors/sidr/css/jquery.sidr.dark.min.css?ver=2.2.1	C:/ICM561/link%2021/link%2021/visitperak.com.my/wp-content/themes/magazine-point/vendors/sidr/css/jquery.sidr.dark.min77e6.css	(from https://visitperak.com.my/lang-mountain/)
02:16:37	1277/1277	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Mar%202020%2000:00:00%20GMT	https://visitperak.com.my/wp-content/themes/magazine-point/vendors/slick/slick.min.css?ver=1.5.9	C:/ICM561/link%2021/link%2021/visitperak.com.my/wp-content/themes/magazine-point/vendors/slick/slick.min7fb9.css	(from https://visitperak.com.my/lang-mountain/)
02:16:37	82792/82792	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Mar%202020%2000:00:00%20GMT	https://visitperak.com.my/wp-content/themes/magazine-point/style.css?ver=2.0.2	C:/ICM561/link%2021/link%2021/visitperak.com.my/wp-content/themes/magazine-point/style4c56.css	(from https://visitperak.com.my/lang-mountain/)
02:16:38	89815/89815	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2008%20Mar%202023%2013:37:34%20GMT	https://visitperak.com.my/wp-includes/js/jquery/jquery.min.js?ver=3.6.4	C:/ICM561/link%2021/link%2021/visitperak.com.my/wp-includes/js/jquery/jquery.min5aed.js	(from https://visitperak.com.my/lang-mountain/)
